2|0
29|0
0|1443129382
30|0
3|0
4|0
0|114211
16|0
5|0
6|0
17|0
18|0
19|0
11|0
0|3059471
19|0
12|0
0|3577
16|0
12|0
0|-938578798
16|0
20|0
0|99
16|0
0|3042
0|99
33|0
0|3577
31|0
1|1565118
16|0
5|0
0|3002509
16|0
0|3002509
31|0
1|48
16|0
10|0
24|0
0|99
33|0
0|-938578798
16|0
0|3002509
31|0
0|99
33|0
0|3577
27|0
0|99
33|0
0|-938578798
27|0
0|99
33|0
0|-938578798
16|0
5|0
0|3053847
31|0
1|50
27|0
0|99
33|0
0|3577
27|0
0|99
33|0
0|-938578798
16|0
9|0
23|0
0|3002509
23|0
14|0
16|0
9|0
23|0
0|3053847
23|0
14|0
16|0
15|0
1|48
16|0
20|0
